Gene,Non-unique Gene name,Annotation,gardnerella_leopoldii_UGent06.41,gardnerella_leopoldii_UMB6774,gardnerella_piotii_JNFY15,gardnerella_piotii_UGhent18.01,gardnerella_swidsinskii_GS9838-1,gardnerella_swidsinskii_JNFY3,gardnerella_vaginalis_ATCC14018,gardnerella_vaginalis_NR001
group_2350,,NADPH-dependent oxidoreductase;nitroreductase family protein;hypothetical protein,GPLCAFGD_00991,IJGDKHFC_00128,NCOBLFIM_00558,CHHPJEJH_01151,MEHEBMPK_01199;MEHEBMPK_01198,JPHLBIEJ_00593,HBKJMDBP_01293,LDEEJEMD_01520
orn,;orn,oligoribonuclease,GPLCAFGD_00783,IJGDKHFC_00982,NCOBLFIM_00177,CHHPJEJH_00840,MEHEBMPK_00722,JPHLBIEJ_00356,HBKJMDBP_00605,LDEEJEMD_00828
infC,infC;,translation initiation factor IF-3,GPLCAFGD_00228,IJGDKHFC_01140,NCOBLFIM_00423,CHHPJEJH_01064,MEHEBMPK_00839,JPHLBIEJ_01102,HBKJMDBP_00404,LDEEJEMD_00020
group_2338,,DNA mismatch repair protein MutT;NUDIX hydrolase,GPLCAFGD_01105,IJGDKHFC_00242,NCOBLFIM_00679,CHHPJEJH_00105,MEHEBMPK_00103,JPHLBIEJ_00714,HBKJMDBP_00119,LDEEJEMD_00389
fmt,fmt;,methionyl-tRNA formyltransferase;hypothetical protein,GPLCAFGD_00652,IJGDKHFC_01221,NCOBLFIM_00022,CHHPJEJH_00680,MEHEBMPK_00596,JPHLBIEJ_00221,HBKJMDBP_00749,LDEEJEMD_01001;LDEEJEMD_01000
group_2330,,histidine phosphatase family protein,GPLCAFGD_00137,IJGDKHFC_00711,NCOBLFIM_01012,CHHPJEJH_00438,MEHEBMPK_00397,JPHLBIEJ_00995,HBKJMDBP_00467,LDEEJEMD_00660
group_2328,,PfkB family carbohydrate kinase;winged helix-turn-helix transcriptional regulator;kinase,GPLCAFGD_00089,IJGDKHFC_00759,NCOBLFIM_00961,CHHPJEJH_00386,MEHEBMPK_00350,JPHLBIEJ_00948,HBKJMDBP_00421,LDEEJEMD_00720
rpsF,rpsF,30S ribosomal protein S6,GPLCAFGD_00080,IJGDKHFC_00768,NCOBLFIM_00952,CHHPJEJH_00377,MEHEBMPK_00341,JPHLBIEJ_00939,HBKJMDBP_00411,LDEEJEMD_00013
group_2326,,AEC family transporter,GPLCAFGD_00912,IJGDKHFC_00049,NCOBLFIM_00484,CHHPJEJH_01122,MEHEBMPK_01106,JPHLBIEJ_00516,HBKJMDBP_01214,LDEEJEMD_01565
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,GPLCAFGD_00800,IJGDKHFC_01004,NCOBLFIM_00374,CHHPJEJH_01013,MEHEBMPK_00739,JPHLBIEJ_00392,HBKJMDBP_01066,LDEEJEMD_01048
group_2325,,hypothetical protein,GPLCAFGD_00245,IJGDKHFC_01123,NCOBLFIM_01049,CHHPJEJH_00475,MEHEBMPK_00856,JPHLBIEJ_01119,HBKJMDBP_00484,LDEEJEMD_00643
group_2324,,response regulator transcription factor;DNA-binding response regulator,GPLCAFGD_01199,IJGDKHFC_00336,NCOBLFIM_00779,CHHPJEJH_00203,MEHEBMPK_00221,JPHLBIEJ_00821,HBKJMDBP_00245,LDEEJEMD_00248
group_2323,,thymidine phosphorylase,GPLCAFGD_01104,IJGDKHFC_00241,NCOBLFIM_00678,CHHPJEJH_00104,MEHEBMPK_00102,JPHLBIEJ_00713,HBKJMDBP_00118,LDEEJEMD_00390
hrpA,;hrpA,hypothetical protein;ATP-dependent RNA helicase HrpA,GPLCAFGD_00375,IJGDKHFC_00621,NCOBLFIM_00331,CHHPJEJH_00968,MEHEBMPK_00926,JPHLBIEJ_01214,HBKJMDBP_01015,LDEEJEMD_01118
group_2318,,RNA methyltransferase,GPLCAFGD_00246,IJGDKHFC_01122,NCOBLFIM_01050,CHHPJEJH_00476,MEHEBMPK_00857,JPHLBIEJ_01120,HBKJMDBP_00485,LDEEJEMD_00642
dnaG,dnaG;,DNA primase;hypothetical protein,GPLCAFGD_00749,IJGDKHFC_00947,NCOBLFIM_00148,CHHPJEJH_00808,MEHEBMPK_00687,JPHLBIEJ_00322,HBKJMDBP_00635,LDEEJEMD_00867
dnaE,dnaE;,DNA polymerase III subunit alpha,GPLCAFGD_00813,IJGDKHFC_01017,NCOBLFIM_00336,CHHPJEJH_00973,MEHEBMPK_00752,JPHLBIEJ_00405,HBKJMDBP_01020,LDEEJEMD_01112
group_2304,,type III pantothenate kinase;pantothenate kinase,GPLCAFGD_00762,IJGDKHFC_00961,NCOBLFIM_00160,CHHPJEJH_00820,MEHEBMPK_00701,JPHLBIEJ_00337,HBKJMDBP_00623,LDEEJEMD_00851
group_2300,,sugar ABC transporter substrate-binding protein;extracellular solute-binding protein;ABC transporter substrate-binding protein,GPLCAFGD_00763,IJGDKHFC_00962,NCOBLFIM_00161,CHHPJEJH_00821,MEHEBMPK_00702,JPHLBIEJ_00338,HBKJMDBP_00622,LDEEJEMD_00850
group_2297,,esterase;alpha/beta hydrolase-fold protein,GPLCAFGD_01016,IJGDKHFC_00153,NCOBLFIM_00580,CHHPJEJH_00007,MEHEBMPK_00013,JPHLBIEJ_00627,HBKJMDBP_00011,LDEEJEMD_00509
glmS,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),GPLCAFGD_00764,IJGDKHFC_00963,NCOBLFIM_00162,CHHPJEJH_00822,MEHEBMPK_00703,JPHLBIEJ_00339,HBKJMDBP_00621,LDEEJEMD_00849
group_2295,,solute carrier family 23 protein;nitrate reductase;NCS2 family nucleobase:cation symporter,GPLCAFGD_00443,IJGDKHFC_00554,NCOBLFIM_01157,CHHPJEJH_00601,MEHEBMPK_00999,JPHLBIEJ_01287,HBKJMDBP_00833,LDEEJEMD_01339
group_2292,,nucleoside deaminase;tRNA-specific adenosine deaminase,GPLCAFGD_01015,IJGDKHFC_00152,NCOBLFIM_00579,CHHPJEJH_00006,MEHEBMPK_00012,JPHLBIEJ_00626,HBKJMDBP_00010,LDEEJEMD_00510
group_2288,,amino acid ABC transporter ATP-binding protein,GPLCAFGD_00765,IJGDKHFC_00964,NCOBLFIM_00163,CHHPJEJH_00825,MEHEBMPK_00704,JPHLBIEJ_00340,HBKJMDBP_00620,LDEEJEMD_00848
group_2286,,hypothetical protein,GPLCAFGD_00444,IJGDKHFC_00553,NCOBLFIM_01158,CHHPJEJH_00602,MEHEBMPK_01001,JPHLBIEJ_01289,HBKJMDBP_00832,LDEEJEMD_01341;LDEEJEMD_01340
group_2279,,LysR family transcriptional regulator,GPLCAFGD_00613,IJGDKHFC_00381,NCOBLFIM_01132,CHHPJEJH_00576,MEHEBMPK_00548,JPHLBIEJ_00180,HBKJMDBP_00859,LDEEJEMD_01310
metK~~~metK_2,metK;;metK_2,methionine adenosyltransferase,GPLCAFGD_00668,IJGDKHFC_00866,NCOBLFIM_01211,CHHPJEJH_00655,MEHEBMPK_00610,JPHLBIEJ_00235,HBKJMDBP_00780,LDEEJEMD_01405
group_2275,,amino acid ABC transporter permease,GPLCAFGD_00766,IJGDKHFC_00965,NCOBLFIM_00164,CHHPJEJH_00826,MEHEBMPK_00705,JPHLBIEJ_00341,HBKJMDBP_00619,LDEEJEMD_00847
group_2273,,peptidylprolyl isomerase,GPLCAFGD_00648,IJGDKHFC_01187,NCOBLFIM_01110,CHHPJEJH_00554,MEHEBMPK_00592,JPHLBIEJ_00217,HBKJMDBP_00915,LDEEJEMD_01247
group_2271,,MerR family transcriptional regulator,GPLCAFGD_00964,IJGDKHFC_00100,NCOBLFIM_00538,CHHPJEJH_01173,MEHEBMPK_01223,JPHLBIEJ_00569,HBKJMDBP_01264,7_refound_115
group_2269,,ABC transporter permease,GPLCAFGD_00445,IJGDKHFC_00552,NCOBLFIM_01159,CHHPJEJH_00603,MEHEBMPK_01002,JPHLBIEJ_01290,HBKJMDBP_00831,LDEEJEMD_01342
group_2263,,HAD family phosphatase;HAD family hydrolase,GPLCAFGD_00612,IJGDKHFC_00382,NCOBLFIM_01133,CHHPJEJH_00577,MEHEBMPK_00547,JPHLBIEJ_00179,HBKJMDBP_00858,LDEEJEMD_01311
group_2261,,AbrB family transcriptional regulator,GPLCAFGD_00023,IJGDKHFC_00829,NCOBLFIM_00842,CHHPJEJH_00266,MEHEBMPK_00280,JPHLBIEJ_00879,HBKJMDBP_00281,LDEEJEMD_00204
rpoZ,rpoZ;,DNA-directed RNA polymerase subunit omega,GPLCAFGD_00669,IJGDKHFC_00867,NCOBLFIM_01210,CHHPJEJH_00654,MEHEBMPK_00611,JPHLBIEJ_00236,HBKJMDBP_00781,LDEEJEMD_01404
group_2259,,ABC transporter substrate-binding protein,GPLCAFGD_00767,IJGDKHFC_00966,NCOBLFIM_00165,CHHPJEJH_00827,MEHEBMPK_00706,JPHLBIEJ_00342,HBKJMDBP_00618,LDEEJEMD_00846
group_2257,,molecular chaperone DnaJ;J domain-containing protein;DnaJ domain-containing protein,GPLCAFGD_00965,IJGDKHFC_00101,NCOBLFIM_00539,CHHPJEJH_01172,MEHEBMPK_01222,JPHLBIEJ_00570,HBKJMDBP_01265,LDEEJEMD_01473
group_2255,,ABC transporter substrate-binding protein;myristoyl transferase,GPLCAFGD_00446,IJGDKHFC_00551,NCOBLFIM_01160,CHHPJEJH_00604,MEHEBMPK_01003,JPHLBIEJ_01291,HBKJMDBP_00830,LDEEJEMD_01343
group_2253,,ammonium transporter;ammonia transporter;hypothetical protein,GPLCAFGD_01098,IJGDKHFC_00235,NCOBLFIM_00672,CHHPJEJH_00098,MEHEBMPK_00094,JPHLBIEJ_00707,HBKJMDBP_00112,LDEEJEMD_00398;LDEEJEMD_00397
zwf,;zwf,glucose-6-phosphate dehydrogenase,GPLCAFGD_01195,IJGDKHFC_00332,NCOBLFIM_00775,CHHPJEJH_00199,MEHEBMPK_00217,JPHLBIEJ_00817,HBKJMDBP_00241,LDEEJEMD_00252
nusG,nusG,transcription termination/antitermination protein NusG;transcription termination/antitermination factor NusG,GPLCAFGD_00903,IJGDKHFC_00040,NCOBLFIM_00475,CHHPJEJH_01113,MEHEBMPK_01115,JPHLBIEJ_00507,HBKJMDBP_01205,LDEEJEMD_01580
malQ_2~~~malQ_1,;malQ_2;malQ_1,4-alpha-glucanotransferase;hypothetical protein,GPLCAFGD_00024,IJGDKHFC_00828,NCOBLFIM_00843,CHHPJEJH_00267,MEHEBMPK_00281,JPHLBIEJ_00880,HBKJMDBP_00282,LDEEJEMD_00201;LDEEJEMD_00202;LDEEJEMD_00199;LDEEJEMD_00200;LDEEJEMD_00203
gmk,gmk;,guanylate kinase,GPLCAFGD_00670,IJGDKHFC_00868,NCOBLFIM_01209,CHHPJEJH_00653,MEHEBMPK_00612,JPHLBIEJ_00237,HBKJMDBP_00782,LDEEJEMD_01403
smpB,smpB,SsrA-binding protein SmpB,GPLCAFGD_00768,IJGDKHFC_00967,NCOBLFIM_00166,CHHPJEJH_00828,MEHEBMPK_00707,JPHLBIEJ_00343,HBKJMDBP_00617,LDEEJEMD_00845
group_2245,,RNA degradosome polyphosphate kinase,GPLCAFGD_01106,IJGDKHFC_00243,NCOBLFIM_00731,CHHPJEJH_00155,MEHEBMPK_00107,JPHLBIEJ_00715,HBKJMDBP_00123,LDEEJEMD_00384
group_2243,,methionine ABC transporter permease;ABC transporter permease,GPLCAFGD_00646,IJGDKHFC_01189,NCOBLFIM_01111,CHHPJEJH_00555,MEHEBMPK_00590,JPHLBIEJ_00215,HBKJMDBP_00913,LDEEJEMD_01249
mtnN,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,GPLCAFGD_01232,IJGDKHFC_00859,NCOBLFIM_00808,CHHPJEJH_00232,MEHEBMPK_00250,JPHLBIEJ_00850,HBKJMDBP_01183,LDEEJEMD_01609
grpE,grpE;,nucleotide exchange factor GrpE,GPLCAFGD_00966,IJGDKHFC_00102,NCOBLFIM_00540,CHHPJEJH_01171,MEHEBMPK_01221,JPHLBIEJ_00571,HBKJMDBP_01266,LDEEJEMD_01474
pth,pth;,aminoacyl-tRNA hydrolase,GPLCAFGD_00447,IJGDKHFC_00550,NCOBLFIM_01161,CHHPJEJH_00605,MEHEBMPK_01004,JPHLBIEJ_00001,HBKJMDBP_00829,LDEEJEMD_01344
group_2239,,MATE family efflux transporter,GPLCAFGD_01099,IJGDKHFC_00236,NCOBLFIM_00673,CHHPJEJH_00099,MEHEBMPK_00095,JPHLBIEJ_00708,HBKJMDBP_00113,LDEEJEMD_00396
valS,;valS,valine--tRNA ligase,GPLCAFGD_01202,IJGDKHFC_00339,NCOBLFIM_00782,CHHPJEJH_00206,MEHEBMPK_00224,JPHLBIEJ_00824,HBKJMDBP_00248,LDEEJEMD_00245
group_2234,,acetolactate synthase large subunit,GPLCAFGD_00748,IJGDKHFC_00946,NCOBLFIM_00145,CHHPJEJH_00805,MEHEBMPK_00686,JPHLBIEJ_00315,HBKJMDBP_00648,LDEEJEMD_00881
group_2233,,OpcA protein;hypothetical protein;glucose-6-phosphate dehydrogenase assembly protein OpcA,GPLCAFGD_01194,IJGDKHFC_00331,NCOBLFIM_00774,CHHPJEJH_00198,MEHEBMPK_00216,JPHLBIEJ_00816,HBKJMDBP_00240,LDEEJEMD_00253;LDEEJEMD_00254
rpsE,rpsE,30S ribosomal protein S5,GPLCAFGD_00046,IJGDKHFC_00806,NCOBLFIM_00865,CHHPJEJH_00289,MEHEBMPK_00303,JPHLBIEJ_00902,HBKJMDBP_00305,LDEEJEMD_00179
rpmD,rpmD;,50S ribosomal protein L30,GPLCAFGD_00047,IJGDKHFC_00805,NCOBLFIM_00866,CHHPJEJH_00290,MEHEBMPK_00304,JPHLBIEJ_00903,HBKJMDBP_00306,LDEEJEMD_00178
secE,secE;,preprotein translocase subunit SecE,GPLCAFGD_00904,IJGDKHFC_00041,NCOBLFIM_00476,CHHPJEJH_01114,MEHEBMPK_01114,JPHLBIEJ_00508,HBKJMDBP_01206,LDEEJEMD_01579
rplM,rplM,50S ribosomal protein L13,GPLCAFGD_00025,IJGDKHFC_00827,NCOBLFIM_00844,CHHPJEJH_00268,MEHEBMPK_00282,JPHLBIEJ_00881,HBKJMDBP_00283,LDEEJEMD_00198
group_2217,pyrF_2;pyrF_1,orotidine-5'-phosphate decarboxylase,GPLCAFGD_00671,IJGDKHFC_00869,NCOBLFIM_01208,CHHPJEJH_00652,MEHEBMPK_00613,JPHLBIEJ_00238,HBKJMDBP_00783,LDEEJEMD_01402
group_2212,,CHAP domain-containing protein,GPLCAFGD_00769,IJGDKHFC_00968,NCOBLFIM_00167,CHHPJEJH_00829,MEHEBMPK_00708,JPHLBIEJ_00344,HBKJMDBP_00616,LDEEJEMD_00844
group_2211,,aquaporin family protein;aquaporin;MIP/aquaporin family protein,GPLCAFGD_01107,IJGDKHFC_00244,NCOBLFIM_00730,CHHPJEJH_00154,MEHEBMPK_00108,JPHLBIEJ_00716,HBKJMDBP_00124,LDEEJEMD_00382
group_2210,,ATP-binding cassette domain-containing protein;hypothetical protein;ABC transporter,GPLCAFGD_00645,IJGDKHFC_01190,NCOBLFIM_01112,CHHPJEJH_00556,MEHEBMPK_00589,JPHLBIEJ_00214,HBKJMDBP_00912,LDEEJEMD_01251;LDEEJEMD_01250
pflA,;pflA,pyruvate formate-lyase 1-activating enzyme;pyruvate formate-lyase-activating protein,GPLCAFGD_00641,IJGDKHFC_01194,NCOBLFIM_01116,CHHPJEJH_00560,MEHEBMPK_00585,JPHLBIEJ_00210,HBKJMDBP_00907,LDEEJEMD_01259
group_2206,,multidrug ABC transporter ATP-binding protein;ATP-binding cassette domain-containing protein,GPLCAFGD_01115,IJGDKHFC_00252,NCOBLFIM_00721,CHHPJEJH_00144,MEHEBMPK_00116,JPHLBIEJ_00731,HBKJMDBP_00136,LDEEJEMD_00370
rplL,rplL,50S ribosomal protein L7/L12,GPLCAFGD_01239,IJGDKHFC_00852,NCOBLFIM_00815,CHHPJEJH_00239,MEHEBMPK_00257,JPHLBIEJ_00857,HBKJMDBP_01176,LDEEJEMD_01617
pstS,pstS,phosphate ABC transporter substrate-binding protein PstS,GPLCAFGD_01233,IJGDKHFC_00858,NCOBLFIM_00809,CHHPJEJH_00233,MEHEBMPK_00251,JPHLBIEJ_00851,HBKJMDBP_01182,LDEEJEMD_01610
dnaK,dnaK,molecular chaperone DnaK,GPLCAFGD_00967,IJGDKHFC_00103,NCOBLFIM_00541,CHHPJEJH_01170,MEHEBMPK_01220,JPHLBIEJ_00572,HBKJMDBP_01267,LDEEJEMD_01475
dnaB,dnaB,replicative DNA helicase,GPLCAFGD_01100,IJGDKHFC_00237,NCOBLFIM_00674,CHHPJEJH_00100,MEHEBMPK_00096,JPHLBIEJ_00709,HBKJMDBP_00114,LDEEJEMD_00395
group_2194,,glycogen/starch/alpha-glucan phosphorylase;glycogen phosphorylase,GPLCAFGD_01047,IJGDKHFC_00183,NCOBLFIM_00623,CHHPJEJH_00049,MEHEBMPK_00044,JPHLBIEJ_00658,HBKJMDBP_00057,LDEEJEMD_00457
group_2192,,anion transporter;SLC13 family permease,GPLCAFGD_00747,IJGDKHFC_00945,NCOBLFIM_00144,CHHPJEJH_00804,MEHEBMPK_00685,JPHLBIEJ_00314,HBKJMDBP_00649,LDEEJEMD_00882
pgl,pgl,6-phosphogluconolactonase,GPLCAFGD_01193,IJGDKHFC_00330,NCOBLFIM_00773,CHHPJEJH_00197,MEHEBMPK_00215,JPHLBIEJ_00815,HBKJMDBP_00239,LDEEJEMD_00255
group_2188,,Sir2 family NAD-dependent protein deacetylase;NAD-dependent deacetylase,GPLCAFGD_01006,IJGDKHFC_00143,NCOBLFIM_00574,CHHPJEJH_00001,MEHEBMPK_00002,JPHLBIEJ_00616,HBKJMDBP_00001,LDEEJEMD_00522
group_2186,,metal ABC transporter ATP-binding protein;ABC transporter ATP-binding protein,GPLCAFGD_00609,IJGDKHFC_00385,NCOBLFIM_01136,CHHPJEJH_00580,MEHEBMPK_00544,JPHLBIEJ_00176,HBKJMDBP_00855,LDEEJEMD_01314
rplR,;rplR,50S ribosomal protein L18,GPLCAFGD_00045,IJGDKHFC_00807,NCOBLFIM_00864,CHHPJEJH_00288,MEHEBMPK_00302,JPHLBIEJ_00901,HBKJMDBP_00304,LDEEJEMD_00180
rplO,rplO,50S ribosomal protein L15,GPLCAFGD_00048,IJGDKHFC_00804,NCOBLFIM_00867,CHHPJEJH_00291,MEHEBMPK_00305,JPHLBIEJ_00904,HBKJMDBP_00307,LDEEJEMD_00177
atpB,atpB,ATP synthase F0 subunit A;F0F1 ATP synthase subunit A,GPLCAFGD_01158,IJGDKHFC_00295,NCOBLFIM_00737,CHHPJEJH_00161,MEHEBMPK_00165,JPHLBIEJ_00779,HBKJMDBP_00194,LDEEJEMD_00324
group_2182,,pyridoxal phosphate-dependent aminotransferase;aspartate aminotransferase,GPLCAFGD_00906,IJGDKHFC_00043,NCOBLFIM_00478,CHHPJEJH_01116,MEHEBMPK_01112,JPHLBIEJ_00510,HBKJMDBP_01208,LDEEJEMD_01577
rpsI,rpsI;,30S ribosomal protein S9,GPLCAFGD_00026,IJGDKHFC_00826,NCOBLFIM_00845,CHHPJEJH_00269,MEHEBMPK_00283,JPHLBIEJ_00882,HBKJMDBP_00284,LDEEJEMD_00197
carB,carB,carbamoyl phosphate synthase large subunit;carbamoyl-phosphate synthase large subunit,GPLCAFGD_00672,IJGDKHFC_00870,NCOBLFIM_01207,CHHPJEJH_00651,MEHEBMPK_00614,JPHLBIEJ_00239,HBKJMDBP_00784,LDEEJEMD_01401
group_2167,,ABC-F family ATP-binding cassette domain-containing protein;ABC transporter ATP-binding protein;hypothetical protein,GPLCAFGD_00107,IJGDKHFC_00741,NCOBLFIM_00903,CHHPJEJH_00327,MEHEBMPK_00368,JPHLBIEJ_00966,HBKJMDBP_01140,LDEEJEMD_00602
ftsX,ftsX;,permease-like cell division protein FtsX;cell division protein FtsX,GPLCAFGD_00770,IJGDKHFC_00969,NCOBLFIM_00168,CHHPJEJH_00830,MEHEBMPK_00709,JPHLBIEJ_00345,HBKJMDBP_00615,LDEEJEMD_00843
group_2162,,tRNA glutamyl-Q(34) synthetase GluQRS;glutamyl-Q tRNA(Asp) synthetase,GPLCAFGD_01108,IJGDKHFC_00245,NCOBLFIM_00729,CHHPJEJH_00153,MEHEBMPK_00109,JPHLBIEJ_00717,HBKJMDBP_00125,LDEEJEMD_00381
group_2160,,MetQ/NlpA family ABC transporter substrate-binding protein;ABC transporter substrate-binding protein,GPLCAFGD_00644,IJGDKHFC_01191,NCOBLFIM_01113,CHHPJEJH_00557,MEHEBMPK_00588,JPHLBIEJ_00213,HBKJMDBP_00911,LDEEJEMD_01252
group_2159,,hypothetical protein,GPLCAFGD_00640,IJGDKHFC_01195,NCOBLFIM_01117,CHHPJEJH_00561,MEHEBMPK_00584,JPHLBIEJ_00209,HBKJMDBP_00906,LDEEJEMD_01260
tig,tig;,trigger factor,GPLCAFGD_00638,IJGDKHFC_01197,NCOBLFIM_01119,CHHPJEJH_00563,MEHEBMPK_00582,JPHLBIEJ_00207,HBKJMDBP_00904,LDEEJEMD_01262
group_2154,,ABC transporter permease subunit;ABC transporter permease,GPLCAFGD_01116,IJGDKHFC_00253,NCOBLFIM_00720,CHHPJEJH_00143,MEHEBMPK_00117,JPHLBIEJ_00732,HBKJMDBP_00137,LDEEJEMD_00369
rplJ,rplJ,50S ribosomal protein L10,GPLCAFGD_01238,IJGDKHFC_00853,NCOBLFIM_00814,CHHPJEJH_00238,MEHEBMPK_00256,JPHLBIEJ_00856,HBKJMDBP_01177,LDEEJEMD_01616
pstC,pstC,phosphate ABC transporter permease subunit PstC,GPLCAFGD_01234,IJGDKHFC_00857,NCOBLFIM_00810,CHHPJEJH_00234,MEHEBMPK_00252,JPHLBIEJ_00852,HBKJMDBP_01181,LDEEJEMD_01611
group_2152,,aspartate aminotransferase;aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,GPLCAFGD_00992,IJGDKHFC_00129,NCOBLFIM_00559,CHHPJEJH_01150,MEHEBMPK_01196,JPHLBIEJ_00594,HBKJMDBP_01296,LDEEJEMD_01524
group_2145,,ABC transporter ATP-binding protein;ATP-binding cassette domain-containing protein,GPLCAFGD_00356,IJGDKHFC_00640,NCOBLFIM_00233,CHHPJEJH_00891,MEHEBMPK_00905,JPHLBIEJ_01193,HBKJMDBP_00539,LDEEJEMD_00750
group_2144,,MurT ligase domain-containing protein;glutamate ligase,GPLCAFGD_01101,IJGDKHFC_00238,NCOBLFIM_00675,CHHPJEJH_00101,MEHEBMPK_00097,JPHLBIEJ_00710,HBKJMDBP_00115,LDEEJEMD_00394
group_2143,,F0F1 ATP synthase subunit epsilon,GPLCAFGD_01165,IJGDKHFC_00302,NCOBLFIM_00744,CHHPJEJH_00168,MEHEBMPK_00172,JPHLBIEJ_00786,HBKJMDBP_00201,LDEEJEMD_00317
group_2141,,histidine phosphatase family protein,GPLCAFGD_01212,IJGDKHFC_00349,NCOBLFIM_00788,CHHPJEJH_00212,MEHEBMPK_00230,JPHLBIEJ_00830,HBKJMDBP_00257,LDEEJEMD_00235
aroC,;aroC,chorismate synthase,GPLCAFGD_00144,IJGDKHFC_00704,NCOBLFIM_01019,CHHPJEJH_00445,MEHEBMPK_00404,JPHLBIEJ_01002,HBKJMDBP_00474,LDEEJEMD_00653
gndA,;gndA,phosphogluconate dehydrogenase (NADP(+)-dependent decarboxylating);NADP-dependent phosphogluconate dehydrogenase,GPLCAFGD_01192,IJGDKHFC_00329,NCOBLFIM_00772,CHHPJEJH_00196,MEHEBMPK_00213,JPHLBIEJ_00813,HBKJMDBP_00238,LDEEJEMD_00256
group_2129,,RNA methyltransferase;TrmH family RNA methyltransferase,GPLCAFGD_01114,IJGDKHFC_00251,NCOBLFIM_00722,CHHPJEJH_00145,MEHEBMPK_00115,JPHLBIEJ_00730,HBKJMDBP_00135,LDEEJEMD_00372
group_2116,,metal ABC transporter permease,GPLCAFGD_00608,IJGDKHFC_00386,NCOBLFIM_01137,CHHPJEJH_00581,MEHEBMPK_00543,JPHLBIEJ_00175,HBKJMDBP_00854,LDEEJEMD_01315
secY,secY;,preprotein translocase subunit SecY,GPLCAFGD_00049,IJGDKHFC_00803,NCOBLFIM_00868,CHHPJEJH_00292,MEHEBMPK_00306,JPHLBIEJ_00905,HBKJMDBP_00308,LDEEJEMD_00176
